lyrics,tags,pos,year,title,artist,color,hue_0,hue_1,hue_2,rgb,random_rgb,spotify_uri
"Tell me story, tell me story
Tell me story, remember what you said
You promised me you said you would
You got to give in, so I'll be good
Tell me a story then I'll go to bed

Oh, worry, worry, weary ends my day
Comes the time to go home without my raise in pay
Home by the fire where a man can just relax
Sippers there by the chair, not a worry, not a care
Along comes Junior swinging his little axe

Tell me a story, tell me a story
Tell me a story, remember what you said
Tell me about the birds and bees
How do you make a chicken sneeze?
Tell me a story then I'll go to bed

Came home so late one evening last July
Played a little poker the time had passed me by
Shoes in my hand and my darlin' wife in bed
Up the stairs sayin' a prayer
Then a voice comes through the air

Hi you there, daddy
Remember what you said

Tell me a story, tell me a story
Tell me a story, remember what you said
Tell me how your eye got black
Because the doorway hit you back
Tell me a story then I'll go to bed

Once upon a time I remember long ago
Don't go back in history, your memory's kinda slow
Stop your noisy talkin' until I finish with my tale

Once upon a, upon a what
Upon your back, you'll get a swat
Tell me about the fish you caught
That's was bigger than a whale

Tell me a story, tell me a story
Tell me a story, remember what you said
You promised me, you said you would
You gotta give in, so I'll be good

Here's a tale you'll never forget
(Tap, tap, tap)
Ouch, my tails all red
And now get up to bed
Ha, ha come on daddy, tell me a story, hee, hee",['death by heart failure'],23,1953,Tell Me A Story,Frankie Laine,black,0,0,0,"(0, 0, 0)","rgb(18, 13, 0)",1THl7yjezM9SW8x2taVS5w
"Well, since my baby left me
In the fiery place to dwell
It's down at the end of Lonely Street
At Heartbreak Hotel

I've been so lonely, baby
Well, I'm so lonely
I'll be so lonely I could die

Oh, although it's always crowded
You still can find some room
For broken hearted lovers
To cry away their gloom

They've been so lonely, baby
Well, they're so lonely
Well, they're so lonely they could die

Now, the bellhop's tears keep flowin'
And the desk clerk's dressed in black
Well, they been so long on Lonely Street
They never ever look back

And it's so lonely, baby
Well they're so lonely
Well, they're so lonely they could die

Well, if your baby leaves you
And you got a tale to tell
Just take a walk down Lonely Street
To Heartbreak Hotel

You'll be so lonely, baby
You're gonna be lonely
You'll be so lonely you could die

Oh, although it's always crowded
You still can find some room
For broken hearted lovers
To cry away their gloom

They'll be so lonely, baby
Well, they're so lonely
Well, they'll be so lonely they could die","['american', 'blue-eyed soul', 'blues', 'christmas music', 'classic pop and rock', 'country', 'flaming', 'gospel', 'if you talk in your sleep', 'love', 'oldies', 'party', 'pop', 'pop rock', 'pop/rock', 'rock', 'rock & roll', 'rock and roll', 'rockabilly', 'singer']",1,1956,Heartbreak Hotel,Elvis Presley,black,0,0,0,"(0, 0, 0)","rgb(0, 0, 0)",6xNwKNYZcvgV3XTIwsgNio
"Bah, bah, bah, but
Bah, bah, bah, but
Bah, bah, bah, bah. bah. bah, but
Do do do do do do
Bah, bah, bah, but
Bah, bah, bah, but
Bah, bah, bah, bah. bah. bah, but

A teenager's romance is fickle or true
A teenager's romance is red hot or blue
You're either in misery or high on a crest
A teenager's romance is like all the rest

They tell us we're different
We haven't the right
To decide for ourselves, dear
What's black and what's white

Keep saying you love me
And they'll look upon
A teenager's romance
That goes on and on

They tell us we're different
We haven't the right
To decide for ourselves, dear
What's black and what's white

Keep saying you love me
And they'll look upon
A teenager's romance
That goes on and on

A teenager's romance
That goes on and on","['all-time greatest hits', 'death by airplane']",25,1957,A Teenager's Romance,Ricky Nelson,black,0,0,0,"(0, 0, 0)","rgb(20, 9, 0)",1Qn5jElT7XqjvVeJ8pYM2w
"You can shake an apple off an apple tree
Shake-a, shake- sugar, but you'll never shake me
Uh-uh-uh
No-sir-ee, uh, uh
I'm gonna stick like glue
Stick because I'm stuck on you

I'm gonna run my fingers through your long black hair
Squeeze you tighter than a grizzly bear
Uh-uh-uh
Yes-sir-ee, uh, uh
I'm gonna stick like glue
Stick because I'm stuck on you

Hide in the kitchen, hide in the hall
Ain't gonna do you no good at all
'Cause once I catch ya and the kissin' starts
A team o' wild horses couldn't tear us apart

Son to take a tiger from his daddy's side
That's how love is gonna keep us tied
Uh-uh-uh
Uh-uh-uh
Oh yeah, uh-uh-uh
I'm gonna stick like glue
Stick, because I'm stuck on you

Hide in the kitchen, hide in the hall
Ain't gonna do you no good at all
'Cause once I catch ya and the kissin' starts
A team o' wild horses couldn't tear us apart

Son to take a tiger from his daddy's side
That's how love is gonna keep us tied
Uh-uh-uh
Yes-sir-ee, uh,uh
I'm gonna stick like glue
Yeah yeah, because I'm stuck on you

I'm gonna stick like glue
Yeah yeah, because I'm stuck on you
I'm gonna stick like glue
Yeah yeah, because I'm stuck on you","['american', 'blue-eyed soul', 'blues', 'christmas music', 'classic pop and rock', 'country', 'flaming', 'gospel', 'if you talk in your sleep', 'love', 'oldies', 'party', 'pop', 'pop rock', 'pop/rock', 'rock', 'rock & roll', 'rock and roll', 'rockabilly', 'singer']",9,1960,Stuck On You,Elvis Presley,black,0,0,0,"(0, 0, 0)","rgb(7, 0, 5)",39zODpVtRvghMyfNjZ3BVK
"There is a rose in Spanish Harlem
A red rose up in Spanish Harlem
It is the special one, it's never seen the sun
It only comes out when the moon is on the run
And all the stars are gleaming
It's growing in the street
Right up through the concrete
But soft and sweet and dreaming

There is a rose in Spanish Harlem
A red rose up in Spanish Harlem
With eyes as black as coal
That looks down in my soul
And starts a fire there and then I lose control
I have to beg your pardon
I'm going to pick that rose
And watch her as she grows in my garden

I'm going to pick that rose
And watch her as she grows in my garden

(There is a rose in Spanish Harlem)
La la la, la la la, la la la la
(There is a rose in Spanish Harlem)
La la la, la la la, la la la la
(There is a rose in Spanish Harlem)","['classic pop and rock', 'funk', 'jazz pop', 'pop', 'pop soul', 'rhythm & blues', 'soul', 'standards', 'traditional pop', 'vocal jazz']",64,1961,Spanish Harlem,Ben E. King,black,0,0,0,"(0, 0, 0)","rgb(0, 0, 0)",3UCmuRdeTriWgOZMEJsfqZ
"Baby's back, dressed in black,
Silver buttons all down her back.
High, low, tipsy toe,
She broke a needle and she can't sew.
Walkin' the dog,
Just a-walkin' her dog.
If you don't know how to do it,
I'll show you how the walk the dog.

Asked the fellow for fifteen cents,
See the fellow he jumped the fence.
Jumped so high he touched the sky,
Never got back till the Fourth of July.
Walkin' the dog,
Just a-walkin' her dog.
If you don't know how to do it,
I'll show you how the walk the dog.","['death by heart failure', 'funk', 'rock and indie']",73,1963,Walking The Dog,Rufus Thomas,black,0,0,0,"(0, 0, 0)","rgb(13, 9, 0)",6iFYsQckCCtGsabW0rXEPn
"I was five and he was six
We rode on horses made of sticks
He wore black and I wore white
He would always win the fight

Bang bang, he shot me down
Bang bang, I hit the ground
Bang bang, that awful sound
Bang bang, my baby shot me down

Seasons came and changed the time
And I grew up, I called him mine
He would always laugh and say
Remember when we used to play

Bang bang, I shot you down
Bang bang, you hit the ground
Bang bang, that awful sound
Bang bang, I used to shoot you down

Music played and people sang
Just for me the church bells rang

Hey!
Hey!
Hey!
Hey!

Now he's gone, I don't know why
And 'till this day, sometimes I cry
He didn't even say goodbye
He didn't take the time to lie

Bang bang, he shot me down
Bang bang, I hit the ground
Bang bang, that awful sound
Bang bang, my baby shot me down","['american', 'aor', 'baroque pop', 'classic pop and rock', 'dance', 'dance-pop', 'disco', 'folk', 'folk pop', 'pop', 'pop rock', 'rnb', 'rock']",60,1966,Bang Bang,Cher,black,0,0,0,"(0, 0, 0)","rgb(1, 13, 0)",6NP3tRIq8pj0AbEX4ioiSc
"Last night all alone in a barroom
Met a girl with a drink in her hand
She had ruby red lips, coal black hair
And eyes that would tempt any man.

Then she came and sat down at my table
As she placed her soft hands in mine
I found myself wanting to kiss her
For temptation was flowing like wine.

And I was almost persuaded to strip myself of my pride
Almost persuaded to push my conscience aside
Then we danced and she whispered, ""I need you,
Take me away from here and be my man.""

Then I looked into her eyes and saw it
The reflection of my wedding band
And I was almost persuaded to let strange lips lead me on
Almost persuaded but your sweet love made me stop and go home.",['death by brain aneurysm'],72,1966,Almost Persuaded,David Houston,black,0,0,0,"(0, 0, 0)","rgb(0, 18, 3)",2Krnm3qWdy4VG5vTkT0cDn
"A-ba ba ba, ba Barbara Ann
Ba ba ba, ba Barbara Ann

Barbara Ann, take my hand
Barbara Ann
You got me rockin' and a-rollin'
Rockin' and a-reelin'
Barbara Ann
Ba ba, ba Barbara Ann

Went to a dance, lookin' for romance
Saw Barbara Ann, so I thought I'd take a chance
With Barbara Ann
Ba ba, ba Barbara Ann
Take my hand
You got me rockin' and a-rollin'
Rockin' and a-reelin'
Barbara Ann
Ba ba, ba Barbara Ann
(Black sheep)

Ba ba ba, ba Barbara Ann
Ba ba ba, ba Barbara Ann

Barbara Ann, take my hand
Barbara Ann
You got me rockin' and a-rollin'
Rockin' and a-reelin'
Barbara Ann
Ba ba, ba Barbara Ann

(Let's go now!)
(Ow!)
(...)
(..., Carl.)
(Hal, and his famous ashtray!)
(...)
(You smell like Rocky. You're always scratchin' it.)
(Hey, come on!)
(Scratch it, Carl, scratch it, baby, right over there.
Down a little lower. Down a little lower!)
(Saw-- Tried--)

Tried Peggy Sue
Tried Betty Lou
Tried Mary Lou
But I knew she wouldn't do

Barbara Ann
Ba ba, ba Barbara Ann
Take my hand
Barbara Ann
Take my hand
You got me rockin' and a-rollin'
Rockin' and a-reelin'
Barbara Ann
Ba ba, ba Barbara Ann

Ba ba ba, ba Barbara Ann
Ba ba ba, ba Barbara Ann

Barbara Ann, take my hand
Barbara Ann
You got me rockin' and a-rollin'
Rockin' and a-reelin'
Barbara Ann
Ba ba, ba Barbara Ann

Barbara Ann, Barbara Ann
Oh, Barbara Ann, Barbara Ann
Yeah, Barbara Ann, Barbara Ann
Barbara Ann, Barbara Ann
You got me rockin' and a-rollin'
Rockin' and a-reelin'
Barbara Ann ba ba
Ba Barbara Ann

(Let's try that again. One more.)

You got me rockin' and a-rollin'
Rockin' and a-reelin'
Barbara Ann ba ba
Ba Barbara Ann

(Ha ha. Let's try it one more time.)

You got me rockin' and a-rollin'
Rockin' and a-reelin'
Barbara Ann ba ba
Ba Barbara Ann

(Let's try it once more.)
(One more time. More artistic flavor.)

One more time
You got me rockin' and a-rollin'
Barbara Ann
Woah
You got me rockin'
You got me rollin'
Oh, Barbara Ann

(Thank you very much, folks.)
(Thanks, Dean.)
(Yeah, it's not bad.)","['american', 'américain', 'b7005bb9-fcd9-4d06-8c39-c5ef11275ef1', 'baroque pop', 'classic pop and rock', 'pop', 'pop rock', 'pop/rock', 'psychedelic pop', 'psychedelic rock', 'rock', 'rock and roll', 'sunshine pop', 'surf', 'surf rock', 'today', 'usa']",79,1966,Barbara Ann,Beach Boys,black,0,0,0,"(0, 0, 0)","rgb(14, 0, 0)",2KOt2JrCB720UxIbyzweQo
"Come to my door, baby,
Face is clean and shining black as night.
My mother went to answer you know
That you looked so fine.
Now I could understand your tears and your shame,
She called you ""boy"" instead of your name.
When she wouldn't let you inside,
When she turned and said
""But honey, he's not our kind.""

She says
I can't see you any more, baby,
Can't see you anymore.

Walk me down to school, baby,
Everybody's acting deaf and dumb.
Until they turn and say, ""Why don't you stick to your own kind.""
My teachers all laugh, the smirking stares,
Cutting deep down in our affairs.
Preachers of equality,
Think they believe it, then why won't they just let us be?

They say I can't see you anymore baby,
Can't see you anymore.

One of these days I'm gonna stop my listening
Gonna raise my head up high.
One of these days I'm gonna raise up my glistening wings and fly.
But that day will have to wait for a while.
Baby I'm only society's child.
When we're older things may change,
But for now this is the way, they must remain.

I say I can't see you anymore baby,
Can't see you anymore.
No, I don't want to see you anymore, baby.","['american', 'classic pop and rock', 'folk']",85,1967,Society's Child,Janis Ian,black,0,0,0,"(0, 0, 0)","rgb(0, 0, 0)",4ygQFe0kTwEQYUc0SjMr58
